DAY,HOUR,OPEN,HIGH,LOW,CLOSE
4/1/2015,21:00,1.07597,1.07684,1.07589,1.0766
4/1/2015,22:00,1.07659,1.0773,1.07651,1.07693
4/1/2015,23:00,1.07689,1.07727,1.07614,1.0769
4/2/2015,0:00,1.07688,1.07698,1.07495,1.07534
4/2/2015,1:00,1.07533,1.07681,1.07514,1.07569
4/2/2015,2:00,1.07567,1.0767,1.07544,1.07657
4/2/2015,3:00,1.07659,1.0776,1.07656,1.07666
4/2/2015,4:00,1.07667,1.0776,1.07655,1.07728
4/2/2015,5:00,1.07728,1.07907,1.07694,1.07826
4/2/2015,6:00,1.07827,1.08248,1.07794,1.08088
4/2/2015,7:00,1.08087,1.08433,1.08056,1.08166
4/2/2015,8:00,1.08168,1.08314,1.08146,1.0827
4/2/2015,9:00,1.08272,1.08384,1.08078,1.08219
4/2/2015,10:00,1.08219,1.08281,1.08116,1.08173
4/2/2015,11:00,1.08174,1.08336,1.08174,1.08289
4/2/2015,12:00,1.08291,1.08685,1.08011,1.08471
4/2/2015,13:00,1.08468,1.09038,1.08466,1.08817
4/2/2015,14:00,1.08814,1.08839,1.08661,1.08789
4/2/2015,15:00,1.08789,1.08871,1.08644,1.08746
4/2/2015,16:00,1.08746,1.08856,1.08695,1.08793
4/2/2015,17:00,1.08794,1.09007,1.08765,1.08884
4/2/2015,18:00,1.08886,1.08984,1.0885,1.08936
4/2/2015,19:00,1.08936,1.08949,1.08786,1.08789
4/2/2015,20:00,1.08787,1.08825,1.08765,1.08794
4/2/2015,21:00,1.08798,1.0885,1.0877,1.08787
4/2/2015,22:00,1.0879,1.08797,1.08704,1.08756
4/2/2015,23:00,1.08759,1.0878,1.08683,1.08695
4/3/2015,0:00,1.08691,1.08693,1.08629,1.08681
4/3/2015,1:00,1.08683,1.08731,1.08657,1.08682
4/3/2015,2:00,1.0868,1.08754,1.08649,1.08675
4/3/2015,3:00,1.08677,1.08738,1.08671,1.08708
4/3/2015,4:00,1.0871,1.08799,1.08703,1.08784
4/3/2015,5:00,1.08785,1.08819,1.08754,1.08799
4/3/2015,6:00,1.08799,1.08881,1.08784,1.08808
4/3/2015,7:00,1.08807,1.08841,1.08661,1.08711
4/3/2015,8:00,1.0871,1.08815,1.08696,1.08787
4/3/2015,9:00,1.0879,1.08809,1.08732,1.08805
4/3/2015,10:00,1.08804,1.08948,1.08794,1.0885
4/3/2015,11:00,1.0885,1.0932,1.08773,1.09135
4/3/2015,12:00,1.09137,1.10134,1.08736,1.10047
4/3/2015,13:00,1.10053,1.10262,1.09841,1.09993
4/3/2015,14:00,1.09993,1.10088,1.09897,1.09916
4/3/2015,15:00,1.09913,1.09963,1.09827,1.09858
4/3/2015,16:00,1.09855,1.0988,1.09672,1.09688
4/3/2015,17:00,1.09696,1.09827,1.09628,1.09825
4/3/2015,18:00,1.09823,1.09825,1.0972,1.09751
4/3/2015,19:00,1.09749,1.09775,1.09661,1.09675
4/3/2015,20:00,1.09676,1.09735,1.09622,1.09663
4/5/2015,21:00,1.10006,1.10024,1.09844,1.09928
4/5/2015,22:00,1.0992,1.1004,1.09869,1.10017
4/5/2015,23:00,1.10017,1.10171,1.09932,1.09937
4/6/2015,0:00,1.09939,1.09962,1.09823,1.09844
4/6/2015,1:00,1.09842,1.09885,1.09731,1.09783
4/6/2015,2:00,1.09784,1.09827,1.09724,1.09807
4/6/2015,3:00,1.09803,1.09861,1.09764,1.09843
4/6/2015,4:00,1.09844,1.09892,1.09757,1.09768
4/6/2015,5:00,1.09766,1.09795,1.0974,1.09745
4/6/2015,6:00,1.09748,1.09823,1.09672,1.09743
4/6/2015,7:00,1.09739,1.09885,1.09652,1.0983
4/6/2015,8:00,1.0983,1.09855,1.0979,1.09824
4/6/2015,9:00,1.09822,1.09869,1.0979,1.09792
4/6/2015,10:00,1.09794,1.09866,1.09763,1.09858
4/6/2015,11:00,1.09857,1.10011,1.09833,1.0987
4/6/2015,12:00,1.09871,1.10203,1.09856,1.10183
4/6/2015,13:00,1.10181,1.10328,1.10134,1.10267
4/6/2015,14:00,1.10261,1.10348,1.10134,1.10325
4/6/2015,15:00,1.10323,1.1035,1.0999,1.10059
4/6/2015,16:00,1.10062,1.10062,1.09794,1.09933
4/6/2015,17:00,1.09931,1.09962,1.09802,1.09859
4/6/2015,18:00,1.09857,1.09857,1.09743,1.09767
4/6/2015,19:00,1.09767,1.0977,1.09091,1.09414
4/6/2015,20:00,1.09414,1.09419,1.09197,1.09197
4/6/2015,21:00,1.09227,1.0937,1.09206,1.09325
4/6/2015,22:00,1.0933,1.09377,1.09279,1.09305
4/6/2015,23:00,1.09305,1.09377,1.09283,1.09337
4/7/2015,0:00,1.09338,1.0939,1.09314,1.09336
4/7/2015,1:00,1.09338,1.09412,1.09295,1.094
4/7/2015,2:00,1.09402,1.09543,1.09401,1.09506
4/7/2015,3:00,1.09508,1.09519,1.09362,1.09387
4/7/2015,4:00,1.09388,1.09443,1.09224,1.09224
4/7/2015,5:00,1.0923,1.09461,1.09212,1.09418
4/7/2015,6:00,1.09417,1.09417,1.0911,1.09211
4/7/2015,7:00,1.09208,1.09402,1.09166,1.09214
4/7/2015,8:00,1.09216,1.0923,1.08337,1.08485
4/7/2015,9:00,1.08485,1.0862,1.08441,1.08561
4/7/2015,10:00,1.08562,1.08644,1.08522,1.08581
4/7/2015,11:00,1.0858,1.08772,1.08547,1.08584
4/7/2015,12:00,1.08586,1.08596,1.08407,1.08493
4/7/2015,13:00,1.08493,1.08714,1.08451,1.0868
4/7/2015,14:00,1.08677,1.08842,1.08561,1.08578
4/7/2015,15:00,1.08581,1.08646,1.08363,1.0849
4/7/2015,16:00,1.08487,1.08559,1.08446,1.08501
4/7/2015,17:00,1.08502,1.08541,1.08371,1.08375
4/7/2015,18:00,1.08377,1.08414,1.0814,1.08281
4/7/2015,19:00,1.08281,1.08346,1.08144,1.08158
4/7/2015,20:00,1.08155,1.08207,1.08025,1.08123
4/7/2015,21:00,1.08128,1.08171,1.08038,1.08099
4/7/2015,22:00,1.08107,1.0825,1.08087,1.08247
4/7/2015,23:00,1.08247,1.0826,1.08181,1.08215
4/8/2015,0:00,1.08217,1.08359,1.08202,1.08312
4/8/2015,1:00,1.08313,1.08426,1.08284,1.08299
4/8/2015,2:00,1.08299,1.08339,1.08255,1.08318
4/8/2015,3:00,1.08317,1.08386,1.08294,1.08383
4/8/2015,4:00,1.08381,1.08529,1.08343,1.08467
4/8/2015,5:00,1.08468,1.08536,1.08434,1.08489
4/8/2015,6:00,1.08486,1.08535,1.08349,1.08443
4/8/2015,7:00,1.08444,1.08806,1.08421,1.08684
4/8/2015,8:00,1.08682,1.08686,1.08497,1.08578
4/8/2015,9:00,1.08579,1.08777,1.08571,1.08686
4/8/2015,10:00,1.08684,1.08869,1.0861,1.08717
4/8/2015,11:00,1.08719,1.08736,1.08425,1.08491
4/8/2015,12:00,1.0849,1.08775,1.08425,1.08618
4/8/2015,13:00,1.08615,1.0865,1.08436,1.08556
4/8/2015,14:00,1.08553,1.0856,1.07826,1.07902
4/8/2015,15:00,1.07903,1.08288,1.07857,1.0816
4/8/2015,16:00,1.08161,1.08257,1.08062,1.08177
4/8/2015,17:00,1.08177,1.08237,1.08087,1.082
4/8/2015,18:00,1.08208,1.08268,1.07622,1.07996
4/8/2015,19:00,1.07994,1.0802,1.07795,1.07816
4/8/2015,20:00,1.07816,1.07895,1.07756,1.07783
4/8/2015,21:00,1.07788,1.07824,1.07767,1.07815
4/8/2015,22:00,1.07819,1.07841,1.07809,1.07827
4/8/2015,23:00,1.07825,1.07862,1.07768,1.07841
4/9/2015,0:00,1.07841,1.07858,1.07596,1.07628
4/9/2015,1:00,1.07627,1.07748,1.07619,1.07708
4/9/2015,2:00,1.0771,1.07837,1.077,1.07822
4/9/2015,3:00,1.07822,1.07883,1.07752,1.07798
4/9/2015,4:00,1.07796,1.07807,1.07685,1.07728
4/9/2015,5:00,1.07729,1.07743,1.07492,1.07546
4/9/2015,6:00,1.07548,1.078,1.07526,1.07767
4/9/2015,7:00,1.07765,1.07854,1.07302,1.07437
4/9/2015,8:00,1.07437,1.07553,1.07361,1.0744
4/9/2015,9:00,1.07439,1.07524,1.0729,1.07428
4/9/2015,10:00,1.07429,1.07685,1.07342,1.07616
4/9/2015,11:00,1.07617,1.07751,1.07556,1.07667
4/9/2015,12:00,1.07667,1.07776,1.07397,1.07424
4/9/2015,13:00,1.07422,1.07566,1.07173,1.07244
4/9/2015,14:00,1.07242,1.07273,1.0672,1.06763
4/9/2015,15:00,1.06765,1.06882,1.06679,1.067
4/9/2015,16:00,1.06698,1.06699,1.0653,1.06674
4/9/2015,17:00,1.06676,1.06676,1.06458,1.06458
4/9/2015,18:00,1.06458,1.06505,1.0637,1.0639
4/9/2015,19:00,1.06388,1.06553,1.06367,1.0653
